Lfd,Code,Researchers,Language,Date,Start,End,Check,Verb,Sentencetype,Item,Rating,Origin
Lfd_04,333NL,ABR/JS/AS,S,15.05.2023,12:50:00,12:58:00,NW,M,AA,28,7,B
Lfd_04,333NL,ABR/JS/AS,S,15.05.2023,12:50:00,12:58:00,NW,M,PN,73,7,B
Lfd_04,333NL,ABR/JS/AS,S,15.05.2023,12:50:00,12:58:00,NW,M,PI,88,7,B
Lfd_04,333NL,ABR/JS/AS,S,15.05.2023,12:50:00,12:58:00,NW,M,AI,99,7,B
Lfd_04,333NL,ABR/JS/AS,S,15.05.2023,12:50:00,12:58:00,NW,P,PI,19,6,B
Lfd_04,333NL,ABR/JS/AS,S,15.05.2023,12:50:00,12:58:00,NW,P,PN,39,7,B
Lfd_04,333NL,ABR/JS/AS,S,15.05.2023,12:50:00,12:58:00,NW,P,AA,67,5,B
Lfd_04,333NL,ABR/JS/AS,S,15.05.2023,12:50:00,12:58:00,NW,P,PA,79,6,B
Lfd_04,333NL,ABR/JS/AS,S,15.05.2023,12:50:00,12:58:00,NW,P,AI,117,7,B
Lfd_04,333NL,ABR/JS/AS,S,15.05.2023,12:50:00,12:58:00,NW,S,AI,7,5,B
Lfd_04,333NL,ABR/JS/AS,S,15.05.2023,12:50:00,12:58:00,NW,S,PI,45,7,B
Lfd_04,333NL,ABR/JS/AS,S,15.05.2023,12:50:00,12:58:00,NW,S,PN,58,7,B
Lfd_04,333NL,ABR/JS/AS,S,15.05.2023,12:50:00,12:58:00,NW,S,AI,90,7,B
Lfd_04,333NL,ABR/JS/AS,S,15.05.2023,12:50:00,12:58:00,NW,S,PA,119,6,B
Lfd_04,333NL,ABR/JS/AS,S,15.05.2023,12:50:00,12:58:00,NW,T,PI,22,7,B
Lfd_04,333NL,ABR/JS/AS,S,15.05.2023,12:50:00,12:58:00,NW,T,AA,43,5,B
Lfd_04,333NL,ABR/JS/AS,S,15.05.2023,12:50:00,12:58:00,NW,T,AI,64,7,B
Lfd_04,333NL,ABR/JS/AS,S,15.05.2023,12:50:00,12:58:00,NW,T,PN,82,7,B
Lfd_04,333NL,ABR/JS/AS,S,15.05.2023,12:50:00,12:58:00,NW,T,PA,112,7,B
Lfd_04,333NL,ABR/JS/AS,S,15.05.2023,12:50:00,12:58:00,NW,U,PA,15,4,B
Lfd_04,333NL,ABR/JS/AS,S,15.05.2023,12:50:00,12:58:00,NW,U,AI,24,4,B
Lfd_04,333NL,ABR/JS/AS,S,15.05.2023,12:50:00,12:58:00,NW,U,PN,49,7,B
Lfd_04,333NL,ABR/JS/AS,S,15.05.2023,12:50:00,12:58:00,NW,U,PI,69,6,B
Lfd_04,333NL,ABR/JS/AS,S,15.05.2023,12:50:00,12:58:00,NW,U,AA,105,5,B
Lfd_05,324MC,ABR/JS/AS/SG,S,15.05.2023,16:55:00,17:06:00,ABR,C,AA,13,4,B
Lfd_05,324MC,ABR/JS/AS/SG,S,15.05.2023,16:55:00,17:06:00,ABR,C,PN,30,2,B
Lfd_05,324MC,ABR/JS/AS/SG,S,15.05.2023,16:55:00,17:06:00,ABR,C,AI,37,2,B
Lfd_05,324MC,ABR/JS/AS/SG,S,15.05.2023,16:55:00,17:06:00,ABR,C,PA,60,3,B
Lfd_05,324MC,ABR/JS/AS/SG,S,15.05.2023,16:55:00,17:06:00,ABR,C,PI,103,2,B
Lfd_05,324MC,ABR/JS/AS/SG,S,15.05.2023,16:55:00,17:06:00,ABR,D,PN,4,7,B
Lfd_05,324MC,ABR/JS/AS/SG,S,15.05.2023,16:55:00,17:06:00,ABR,D,AA,54,2,B
Lfd_05,324MC,ABR/JS/AS/SG,S,15.05.2023,16:55:00,17:06:00,ABR,D,AI,84,7,B
Lfd_05,324MC,ABR/JS/AS/SG,S,15.05.2023,16:55:00,17:06:00,ABR,D,PA,97,2,B
Lfd_05,324MC,ABR/JS/AS/SG,S,15.05.2023,16:55:00,17:06:00,ABR,D,PI,114,7,B
Lfd_05,324MC,ABR/JS/AS/SG,S,15.05.2023,16:55:00,17:06:00,ABR,E,PA,34,6,B
Lfd_05,324MC,ABR/JS/AS/SG,S,15.05.2023,16:55:00,17:06:00,ABR,E,AI,52,2,B
Lfd_05,324MC,ABR/JS/AS/SG,S,15.05.2023,16:55:00,17:06:00,ABR,E,AA,75,6,B
